code	name	description
LPAL1983LCH	Personenauto - LPG - licht - pre Euro wetgeving (1983)	Personenauto - LPG - licht - pre Euro wetgeving (1983)
LPAL1983MED	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1983)	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1983)
LPAL1983ZWA	Personenauto - LPG - zwaar - pre Euro wetgeving (1983)	Personenauto - LPG - zwaar - pre Euro wetgeving (1983)
LPAL1984LCH	Personenauto - LPG - licht - pre Euro wetgeving (1984)	Personenauto - LPG - licht - pre Euro wetgeving (1984)
LPAL1984MED	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1984)	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1984)
LPAL1984ZWA	Personenauto - LPG - zwaar - pre Euro wetgeving (1984)	Personenauto - LPG - zwaar - pre Euro wetgeving (1984)
LPAL1985LCH	Personenauto - LPG - licht - pre Euro wetgeving (1985)	Personenauto - LPG - licht - pre Euro wetgeving (1985)
LPAL1985MED	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1985)	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1985)
LPAL1985ZWA	Personenauto - LPG - zwaar - pre Euro wetgeving (1985)	Personenauto - LPG - zwaar - pre Euro wetgeving (1985)
LPAL1986LCH	Personenauto - LPG - licht - pre Euro wetgeving (1986)	Personenauto - LPG - licht - pre Euro wetgeving (1986)
LPAL1986MED	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1986)	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1986)
LPAL1986ZWA	Personenauto - LPG - zwaar - pre Euro wetgeving (1986)	Personenauto - LPG - zwaar - pre Euro wetgeving (1986)
LPAL1987LCH	Personenauto - LPG - licht - pre Euro wetgeving (1987)	Personenauto - LPG - licht - pre Euro wetgeving (1987)
LPAL1987MED	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1987)	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1987)
LPAL1987ZWA	Personenauto - LPG - zwaar - pre Euro wetgeving (1987)	Personenauto - LPG - zwaar - pre Euro wetgeving (1987)
LPAL1988LCH	Personenauto - LPG - licht - pre Euro wetgeving (1988)	Personenauto - LPG - licht - pre Euro wetgeving (1988)
LPAL1988MED	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1988)	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1988)
LPAL1988ZWA	Personenauto - LPG - zwaar - pre Euro wetgeving (1988)	Personenauto - LPG - zwaar - pre Euro wetgeving (1988)
LPAL1989LCH	Personenauto - LPG - licht - pre Euro wetgeving (1989)	Personenauto - LPG - licht - pre Euro wetgeving (1989)
LPAL1989MED	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1989)	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1989)
LPAL1989ZWA	Personenauto - LPG - zwaar - pre Euro wetgeving (1989)	Personenauto - LPG - zwaar - pre Euro wetgeving (1989)
